Haber,Yorum
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",haberde uyarı ile deprem arasındaki saniye ve dakika farkını niye yazmadınız. kaç sanie önce haber verdi depremi yok ? 
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",istanbulda olmadı deprem haberi bari doğru yapın
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",deprem istanbulda olmadıki yanlış yere gitmiş keşke bursalılara gitseymiş
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",mesajı almak için 61 km uzakta mı olmak gerekiyor?
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ","Eeee, netice ? "
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",Bir android kadar erken bilgilendirme sistemi yapılamıyor malesef..
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",Ya Amerika'dır ya da uzaylılar yani sonuçta dış güçler:)))
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",20 sanıye kadar önce geldi o mesaj
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",Iphone lara dünyanın parası veriliyor onları kullananların suçu ne fazla para vermeleri mi?
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı. ",61 km uzakta bulunanlara mı gitti 
