Unnamed: 0,Yorumlar,Duygular
0,"['turkcell', 'kadar', 'şerefsiz', 'misiniz', 'ya']",['olumsuz']
1,"['Burdan', 'Turkcell', ""'"", 'e', 'sesleniyorum', 'o', '3', 'tl', 'haram', 'olsun']",['olumsuz']
2,"['Hayatımda', 'turkcell', 'kadar', 'kazık', '1', 'operatör', 'görmedim']",['olumsuz']
3,"['Turkcell', 'gözümde', 'son', 'demlerini', 'yaşıyor', 'hattı', 'değişicem', 'bu', 'nedir', 'ya', 'kepazelik', 'çekiyorum']",['olumsuz']
4,"['Sonra', 'turkcell', 'olduğunu', 'görüp', 'sövüyorum']",['olumsuz']
5,"['Turkcell', 'smsle', 'internetimi', 'göndermedi', 'abv', 'turkcell']",['olumsuz']
6,"['Turkcell', 'sen', 'ne', 'kadar', 'kaşarsın']",['olumsuz']
7,"['şu', 'zamana', 'kadar', 'gördüğüm', 'en', 'kazık', 'operatör', 'turkcelldir', 'aksini', 'iddia', 'eden', 'turkcell', 'çalışanıdır']",['olumsuz']
8,"['TTNet', 'Pişmanlıktır', ',', 'Digitürk', 'Pişmanlıktır', ',', 'Turkcell', 'Pişmanlıktır', '.']",['olumsuz']
9,"['Turkcell', 'artık', 'insanları', 'kazıklamayı', 'bıraksın', '..']",['olumsuz']
10,"['Kurtulacam', 'Senden', 'Turkcell']",['olumsuz']
11,"['160', 'tl', 'fatura', 'mi', 'olur', 'zalimsin', 'turkcell']",['olumsuz']
12,"['Turkcell', 'bayine', 'giriyosun', 'internet', 'paketi', 'yapmaya', 'adamlar', 'zorla', 'faturalı', 'hat', 'satmaya', 'çalışıyo', 'sövmeyelim', 'mi', 'şimdi']",['olumsuz']
13,"['Turkcell', '6', 'GB', 'interneti', '10gunde', 'nereye', 'harcadigimin', 'hesabini', 'versin', '!', 'Aile', 'gecinir', 'ya', '6', ""GB'la.Colugumun"", 'cocugumun', 'rizkini', 'yedi', 'Turkcell', '.']",['olumsuz']
14,"['Sevdiginle', 'göz', 'göze', 'intertten', 'uyumayi', 'dene', '!', '!', 'Allah', 'cezani', 'turkcell', 'yaa', 'hadi', 'benim', 'romantikligim', 'eksik', 'ama', 'bu', 'hic', 'olmusmu', 'yaaa', 'üzdün', 'beni']",['olumsuz']
15,"['Günde', '5', 'vakit', 'turkcell', ""'"", 'e', 'sövüyorum', '.']",['olumsuz']
