Haber,Yorum
"İstanbul'da meydana gelen 5.1 deprem endişe yaratırken, sarsıntıdan saniyeler önce telefonlara gelen uyarı mesajı dikkat çekti. Android Deprem Uyarıları Sistemi üzerinden gelen mesajda ""Hafif sarsıntı bekleniyor. Yaklaşık 61,1 km uzaklıkta, ilk tahminlere göre 5.0 büyüklüğünde"" ifadeleri yer aldı.",
,istanbulda olmadı deprem haberi bari doğru yapın
,deprem istanbulda olmadıki yanlış yere gitmiş keşke bursalılara gitseymiş
,mesajı almak için 61 km uzakta mı olmak gerekiyor?
,61 km uzakta bulunanlara mı gitti 
,Iphone lara dünyanın parası veriliyor onları kullananların suçu ne fazla para vermeleri mi?
,Bir android kadar erken bilgilendirme sistemi yapılamıyor malesef..
,Ya Amerika'dır ya da uzaylılar yani sonuçta dış güçler:)))
,20 sanıye kadar önce geldi o mesaj
"Asgari ücret zammına ilişkin dün ""Açlık sınırından bir pazarlık olmaz onun üzerinden bir pazarlık olur"" diyen Türk-İş Başkanı Ergün Atalay, tepkilerin ardından bugün ağız değiştirdi. Türk-İş'ten konuya ilişkin yapılan açıklamada, pazarlıkta alt sınırın 14 bin 25 lira olduğu haberlerinin gerçeği yansıtmadığı ve taban fiyatın masada bulunan komisyon üyelerinin kararıyla belirleneceği belirtildi.",
,O maaşa kendi çalışsın ben patron olsam 14025mi istiyor al 14500derim 
,"Bütün devlet memuru maaşları asgari ücretin katları olarak belirlenmeli, örneğin milletvekili asgari ücretin 4 katı, doktor, hakim vs. 3 katı gibi, bu işin en basit ve tek çıkar yolu bu ama bunu hiçbir hükümet ya pa maz. "
,Sizden ricam olucak gelin bir aylığına siz bizim yerimize gecin biz sizin yerinize askeri ücretle gecine bilecekmisiniz şartlar da tabi değişecek benim kirada oturdugum evde sen oturacaksın eşin 2 çocuk anlaştık mı gecinirim geciniliyor dersen 1 ay sonra siz kralsınız çünkü biz gecinemiyoruz siz daha iyi bilirsiniz tok hiçbir zaman açın halinden anlamaz 
,İstanbul'da Kiralar 15000 TL den başlıyor hicbirseye zam gelmezse asgari ücret 23000 olması lazim eğer zam gelmeye devam ederse asgari ücret 30000 olmasi lazim
,"Asgari ücret olduğu gibi üst limit de olmalı, devket özel sektör için yaşa çıkarmalı, en az maaş verdiğin işçinin 2 katı en fazla maaş verebilirsin demeli müdürlerine, müdürler İşçisi belki o zman düşünür kendileri için.. 
Emekli çalışan ile normal çalışanın asgari ücreti de aynı olmamalı.. "
,ASGARİ ÜCRETİN 15 BİN TL Yİ GEÇMEMESİ LAZIM. YOKSA BU ENFLASYON DÜŞMEZ. YAPACAK BİR ŞEY YOK BAŞKAB BİR ÇIKIŞ YOLU YOK.
,sen üstünü geri veririsin..
,Tuzu kuru Aktrol boş yapma.
,"Eflasyonun sebebi işçinin alıgı üçkuruşa bağlamak ne derece dogru. Vergi aflaryla af edilen paralar, hibi destekleri hakkında fikrin var mı. Kimlere verilmiş. Kıraldan çok kıralcı olmanın kimseye faydası yok."
,"İşçinin maaş sistemi tamamen degişmeli
28 gün bir maaş sayılmalı hafta sonu iki gün tatil günlük 6 saat çalışılmalıdır isteyen mesai yapar haftalık çalışma saati 30 saat aylık çalışma saatinde 120 saat olmalı ve saat ücreti 150 lira olmalıdır. Oda aylık 18.000 yapar iş veren maaliyeti 24000 olmalı tek sigorta dönemi başlamlıdır yoksa düzenli eksiksiz sigorta sistemi olmaz. "
"Bankacı Seçil Erzan'ın aralarında Arda Turan, Emre Belezoğlu, Fernando Muslera gibi Türk futbolunun ünlü isimlerini dolandırdığı ve kamuoyunda ""Fatih Terim Fonu"" olarak bilinen vurgunla ilgili Fatih Terim sessizliğini bozdu. Avukatların yaptığı açıklamada Terim'in dolandırıcılık olayıyla hiçbir ilgisinin olmadığı vurgulanırken, ""Fatih Terim Fonu, diye bir tespit, belge bulunmamaktadır"" ifadeleri kullanıldı. Bu ifadenin basın tarafından ısrarla kullanılmasından rahatsızlık duyulduğu belirtildi.",
,Tokatçı 2 sinemalarda...
,"Milli takımı mahkemeye verdigin zaman bitmistin benim icin,demek ki yanilmadik!!!"
,Bu durumda Fatih terim seçil erzana kaptırdığı parayı geri almak için diğer arkadaşlarına tavsiyelerde bulunmuş seçil erzana katılmak üzere yeni yatırımcılar bulmuş bu sayede Fatih terim parasını kurtarmış olan arda turana olmuş. 
Külçe külçe altınlarıyla çektiği videolarla tanınan ve dolandırıcılık söylentisiyle konuşulan fenomen Nevra Bilem ve eşine ait şirketin 3 yılda sadece 20 bin 257 TL vergi ödediği ortaya çıktı.,
,Dolandirici 
,devlet sazan avında 
,Bunlarda ne suç işlemişki asıl suç bunları adam sayıp takip eden ve ünlü edenlerde başını bağlamış ama Allah ın söyleyin o mümin kadınlara ziynetlerini gizlesinler ayetini unutmuş veya haberi yok gibi ben bu insanları adam yerine bile koymuyorum.Yazıklar olsunki bunları takip edip milyonlar kazanmasına sebep olanlara.
,KENDİLERİNDEN OLANA DOKUNMUYORLAR
,mali şube uyumaya devam
"Yunanistan'da resmi temaslarda bulunan Cumhurbaşkanı Erdoğan, mevkidaşı Katerina Sakelaropulu ile kameralar karşısına geçti. 6 yıl sonra Atina'yı ziyaret eden Erdoğan, ""Burada olmaktan çok mutluyum"" dedi.",
,Yandım amman öldüm amman sararıp soldum amman kar boran yollar ardında sevdan var seni bırakıp gidemem...
,Ali Yesildal'i ver bu is huzur icinde cözülsün
,"Kubilaylaylay, Kubilaylaylay, Kubilaylaylay Kubilaylaylay Kubilaylaylayyyy"
,"erebildi bize. İki tarafınki de insaniyet duygusudur. İkili görüşmelerimizin daha ilizm Bakanı Mehmet Nuri Ersoy, Milli Eğitim Bakanı Yusuf Tekin, Milli Savunma Bakanı Yaşar Güler, Ticaret Bakanı Ömer Bolat, Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Cumhurbaşkanlığı İletişim Başkanı Fahrettin Altun, Cumhurbaşkanı Başdan"
,Ansızın gitmiş. 
,He o lan o nerden bildin yaaaa...
,Ayıp yaaa… miçoya o kadar sallayıp ayaklarına kadar gitmek???
,Asla r yapmaz bir gece gideriz dedik ama ziyarete demek istedik :D
,Asla r yapmaz bir gece gideriz dedik ama ziyarete demek istedik :D
