,yorum,duygu
0,20 dk 1 GB internet 500 mb sadece kaşar turkcell de düşer. Oç çocukları.,olumsuz
1,Ayrıca turkcell superonline reklamı kadar da kötü bir reklam görmemiştim,olumsuz
2,Turkcell çok pahalı ya,olumsuz
3,Turkcell Kaş'ta internetin cekmiyor,olumsuz
4,Turkcell'in Allah belası versin demek isterdim ama demicem. Demedim farzedin. Nasıl bir internettir bu ya yüreğim şişti!,olumsuz
5,Canın cehenneme turkcell,olumsuz
6,"Turkcell yönetimini eline geçiren AKP hükümeti, abonelere seçim propagandası mesajları gönderiyor",olumsuz
7,Turkcell şerefsizdir aksini iddia eden turkcelldir,olumsuz
8,Turkcell'den elimi ayağımı çektiğim iyi oldu,olumsuz
9,Senin turkcell gibi allah belanı versin,olumsuz
10,Bayramdan sonra vodafone geçiyorum turkcell kazıkçı amk,olumsuz
11,Of evin her köşesinden Turkcell geçiyor bizi kazıklamalarıyla kalmayıp birde internetleri düşük hızlı,olumsuz
12,Hay senin turkcell gibi çekim gücünü ... Nalet olsun,olumsuz
13,Şehir dışındayım burada da turkcell internet çekmiyor. Bide turkcell fuul çekiyor diyorlar,olumsuz
14,Turkcell senin ben amk 10 dakikalık videoyu izlemek icin yarım saat dolmasını bekliyorum,olumsuz
15,Turkcell 'e bağlanmak amerikaya gitmekten daha zor,olumsuz
16,Su turkcell durduk yere kac lirami yedi ya kafasina gore paralar cekiyo,olumsuz
17,Turkcell im lan her saatte araman ayıp değil mi? Nalet .,olumsuz
18,"turkcell gittikçe, iyice saçmalamaya başladım diyor",olumsuz
19,Kendimi kurtardığıma en çok sevindiğim kurumlar 3 turkcell 2 digiturk 1 garanti,olumsuz
20,Turkcell'in interneti kadar rezil bir şey olamaz,olumsuz
21,turkcell mal ya köyde çekmeyeceksen hiçbi yerde çekme,olumsuz
22,Reklamlarında sürekli çocukları ve yerel değerleri kullanan Turkcell'e ayar oluyorum.,olumsuz
23,Yaylada telefon çekmiyor sözde toroslarda turkcell 4 çekiyor,olumsuz
24,Sahrayıceditin göbeğinde tek çentik çeken turkcell dört 4.5 g ye geçmiş sen önce çekim gücünü yükselt sonra geçmesi kolay,olumsuz
25,Turkcell kullanan geri zekalıdır. İnterneti biraz daha hızlı diye niye 23 lira vermek varken 35 lira vereyim ams salak mıyım ben,olumsuz
26,Türk operatörleri tıpkı AB'deki operatör türevleri gibi halka hediye olarak ürün sunmalı. Yıllardır halkı sömüren Turkcell ne yaptı?,olumsuz
27,Turkcell'in müşteri hizmetleri kalitesi felaket .. Şimdi Face hesabımdan aynı yazıyı tüm arkadaşlarımla paylaşacağım,olumsuz
28,Ne malsın turkcell yaa ağzıma ettin ressmen,olumsuz
29,Turkcell 10G de yapsa bu internet düzelmez. Bir fotoğrafın açılması yarım saat sürüyor,olumsuz
30,Hani turkcell heryerde çekiyordu,olumsuz
31,Acaba benim hattım neden kendi üstümde deyil bu turkcell in kazıklarından bıktım amk baba duy sesimi,olumsuz
32,En kazık operatör Turkcell'dir aksini idda eden olmasın,olumsuz
33,turkcell kadar şerrefsiz bi operatör daha yok,olumsuz
34,Çiftehan da turkcell neden çok az cekiyor,olumsuz
